Chemical,Monitor,"Date Time ",Reading
Methylosmolene,3,2016/04/01,"2,68382"
Methylosmolene,7,2016/04/01,"2,6306399999999996"
Chlorodinine,3,2016/04/01,"1,25917"
Chlorodinine,7,2016/04/01,"0,9439829999999999"
AGOC-3A,3,2016/04/01,"0,722303"
Appluimonia,2,2016/04/01,"0,518521"
Appluimonia,8,2016/04/01,"0,502186"
AGOC-3A,7,2016/04/01,"0,497282"
Appluimonia,6,2016/04/01,"0,458144"
Methylosmolene,8,2016/04/01,"0,456104"
AGOC-3A,8,2016/04/01,"0,438723"
Methylosmolene,1,2016/04/01,"0,41742300000000004"
Appluimonia,7,2016/04/01,"0,38494"
Chlorodinine,1,2016/04/01,"0,382308"
Appluimonia,4,2016/04/01,"0,378015"
Appluimonia,9,2016/04/01,"0,272886"
AGOC-3A,6,2016/04/01,"0,242289"
Chlorodinine,6,2016/04/01,"0,239455"
Chlorodinine,5,2016/04/01,"0,239101"
AGOC-3A,2,2016/04/01,"0,22855799999999998"
Chlorodinine,8,2016/04/01,"0,225446"
Chlorodinine,9,2016/04/01,"0,197804"
Methylosmolene,4,2016/04/01,"0,196198"
AGOC-3A,1,2016/04/01,"0,160462"
Methylosmolene,6,2016/04/01,"0,156771"
AGOC-3A,5,2016/04/01,"0,15486"
Methylosmolene,9,2016/04/01,"0,144993"
Appluimonia,3,2016/04/01,"0,130435"
Methylosmolene,2,2016/04/01,"0,110788"
AGOC-3A,9,2016/04/01,"0,10578699999999999"
AGOC-3A,4,2016/04/01,"0,0814906"
Appluimonia,5,2016/04/01,"0,029696700000000003"
Methylosmolene,5,2016/04/01,"0,0226431"
Chlorodinine,2,2016/04/01,"0,0115732"
Chlorodinine,4,2016/04/01,"0,0047395399999999996"
Appluimonia,1,2016/04/01,"0,0030929"
Appluimonia,3,"2016/04/01 01:00:00","3,48407"
AGOC-3A,3,"2016/04/01 01:00:00","2,55736"
Methylosmolene,7,"2016/04/01 01:00:00","2,26404"
Chlorodinine,7,"2016/04/01 01:00:00","1,26748"
